Year,state,avg_yrly_employment
2015,Alabama,1970.925
2015,Arizona,2635.3166666666666
2015,Arkansas,1213.6
2015,California,16048.95
2015,Colorado,2541.1666666666665
2015,Conneticut,1686.7833333333333
2015,Delaware,446.89166666666665
2015,District of Columbia,763.7416666666667
2015,Florida,8114.508333333333
2015,Georgia,4262.708333333333
2015,Idaho,671.55
2015,Illinois,5965.483333333334
2015,Indiana,3034.2916666666665
2015,Iowa,1561.3416666666667
2015,Kansas,1400.65
2015,Kentucky,1885.725
2015,Louisiana,1996.475
2015,Maine,610.65
2015,Maryland,2680.7833333333333
2015,Massachussets,3500.258333333333
2015,Michigan,4248.616666666667
2015,Minnesota,2859.258333333333
2015,Mississippi,1133.4666666666667
2015,Missouri,2811.4666666666667
2015,Montana,462.1166666666667
2015,Nebraska,1006.4666666666667
2015,Nevada,1258.6833333333334
2015,New Hampshire,653.8583333333333
2015,New Jersey,4008.6416666666664
2015,New Mexico,824.4166666666666
2015,New York,9289.858333333334
2015,North Carolina,4249.833333333333
2015,North Dakota,454.44166666666666
2015,Ohio,5423.241666666667
2015,Ohklahoma,1667.6833333333334
2015,Oregon,1788.6333333333332
2015,Pennsylvania,5834.516666666666
2015,Rhode Island,489.6
2015,South Carolina,2009.1916666666666
2015,South Dakota,428.26666666666665
2015,Tennessee,2902.0416666666665
2015,Texas,11868.191666666666
2015,Utah,1377.7416666666666
2015,Vermont,312.35833333333335
2015,Virginia,3859.4166666666665
2015,Washington,3144.1833333333334
2015,West Virginia,720.8166666666666
2015,Wisconsin,2894.6083333333336
2016,Alabama,1996.9166666666667
2016,Arizona,2708.7083333333335
2016,Arkansas,1233.4166666666667
2016,California,16478.6
2016,Colorado,2601.508333333333
2016,Conneticut,1692.4833333333333
2016,Delaware,451.45
2016,District of Columbia,777.0583333333334
2016,Florida,8392.85
2016,Georgia,4375.3
2016,Idaho,694.225
2016,Illinois,6013.041666666667
2016,Indiana,3074.075
2016,Iowa,1570.8333333333333
2016,Kansas,1404.6916666666666
2016,Kentucky,1908.475
2016,Louisiana,1975.6166666666668
2016,Maine,617.9333333333334
2016,Maryland,2715.975
2016,Massachussets,3567.883333333333
2016,Michigan,4326.725
2016,Minnesota,2898.625
2016,Mississippi,1146.575
2016,Missouri,2853.2833333333333
2016,Montana,468.075
2016,Nebraska,1015.0833333333334
2016,Nevada,1298.45
2016,New Hampshire,665.8333333333334
2016,New Jersey,4069.483333333333
2016,New Mexico,825.3916666666667
2016,New York,9434.358333333334
2016,North Carolina,4351.133333333333
2016,North Dakota,435.39166666666665
2016,Ohio,5481.958333333333
2016,Ohklahoma,1653.025
2016,Oregon,1844.025
2016,Pennsylvania,5882.6
2016,Rhode Island,494.2083333333333
2016,South Carolina,2058.133333333333
2016,South Dakota,432.09166666666664
2016,Tennessee,2974.7166666666667
2016,Texas,12017.225
2016,Utah,1425.9666666666667
2016,Vermont,313.3
2016,Virginia,3915.5833333333335
2016,Washington,3240.9333333333334
2016,West Virginia,711.575
2016,Wisconsin,2931.5166666666664
2017,Alabama,2018.6166666666666
2017,Arizona,2777.4166666666665
2017,Arkansas,1249.6083333333333
2017,California,16826.875
2017,Colorado,2659.9666666666667
2017,Conneticut,1696.1916666666666
2017,Delaware,455.125
2017,District of Columbia,784.3833333333333
2017,Florida,8578.591666666667
2017,Georgia,4459.875
2017,Idaho,714.8666666666667
2017,Illinois,6056.175
2017,Indiana,3107.525
2017,Iowa,1572.8416666666667
2017,Kansas,1404.025
2017,Kentucky,1920.075
2017,Louisiana,1975.55
2017,Maine,623.4833333333333
2017,Maryland,2745.7916666666665
2017,Massachussets,3615.6
2017,Michigan,4377.308333333333
2017,Minnesota,2938.5583333333334
2017,Mississippi,1151.4583333333333
2017,Missouri,2879.4416666666666
2017,Montana,472.8833333333333
2017,Nebraska,1018.9
2017,Nevada,1339.9583333333333
2017,New Hampshire,672.9833333333333
2017,New Jersey,4124.783333333334
2017,New Mexico,828.875
2017,New York,9561.891666666666
2017,North Carolina,4425.141666666666
2017,North Dakota,432.825
